product_id,product_name,category,price,status
PROD0001,Product_1,Home,446.8,DISCONTINUED
PROD0002,Product_2,Grocery,129.27,ACTIVE
PROD0003,Product_3,Electronics,637.51,ACTIVE
PROD0004,Product_4,Grocery,448.18,DISCONTINUED
PROD0005,Product_5,Clothing,484.36,ACTIVE
PROD0006,Product_6,Clothing,396.47,ACTIVE
PROD0007,Product_7,Electronics,768.56,ACTIVE
PROD0008,Product_8,Electronics,895.98,DISCONTINUED
PROD0009,Product_9,Electronics,866.47,ACTIVE
PROD0010,Product_10,Electronics,195.78,ACTIVE
PROD0011,Product_11,Clothing,323.24,ACTIVE
PROD0012,Product_12,Grocery,351.46,ACTIVE
PROD0013,Product_13,Home,231.89,DISCONTINUED
PROD0014,Product_14,Grocery,240.85,ACTIVE
PROD0015,Product_15,Electronics,936.0,ACTIVE
PROD0016,Product_16,Electronics,21.35,DISCONTINUED
PROD0017,Product_17,Home,729.34,DISCONTINUED
PROD0018,Product_18,Home,643.81,DISCONTINUED
PROD0019,Product_19,Electronics,525.34,DISCONTINUED
PROD0020,Product_20,Clothing,41.5,ACTIVE
PROD0021,Product_21,Clothing,341.42,ACTIVE
PROD0022,Product_22,Grocery,116.11,DISCONTINUED
PROD0023,Product_23,Electronics,561.58,DISCONTINUED
PROD0024,Product_24,Electronics,769.62,DISCONTINUED
PROD0025,Product_25,Grocery,172.91,ACTIVE
PROD0026,Product_26,Electronics,174.97,DISCONTINUED
PROD0027,Product_27,Grocery,115.19,DISCONTINUED
PROD0028,Product_28,Home,880.21,DISCONTINUED
PROD0029,Product_29,Electronics,185.61,DISCONTINUED
PROD0030,Product_30,Grocery,119.8,ACTIVE
PROD0031,Product_31,Home,873.22,DISCONTINUED
PROD0032,Product_32,Grocery,337.18,DISCONTINUED
PROD0033,Product_33,Grocery,864.3,DISCONTINUED
PROD0034,Product_34,Electronics,694.68,DISCONTINUED
PROD0035,Product_35,Grocery,731.38,DISCONTINUED
PROD0036,Product_36,Grocery,732.91,ACTIVE
PROD0037,Product_37,Grocery,829.24,ACTIVE
PROD0038,Product_38,Grocery,264.25,ACTIVE
PROD0039,Product_39,Clothing,549.12,DISCONTINUED
PROD0040,Product_40,Grocery,43.18,DISCONTINUED
PROD0041,Product_41,Clothing,664.56,ACTIVE
PROD0042,Product_42,Clothing,946.08,DISCONTINUED
PROD0043,Product_43,Home,654.19,ACTIVE
PROD0044,Product_44,Electronics,49.96,DISCONTINUED
PROD0045,Product_45,Grocery,793.17,ACTIVE
PROD0046,Product_46,Electronics,793.77,DISCONTINUED
PROD0047,Product_47,Home,204.13,ACTIVE
PROD0048,Product_48,Grocery,930.92,DISCONTINUED
PROD0049,Product_49,Grocery,250.44,DISCONTINUED
PROD0050,Product_50,Electronics,626.97,ACTIVE
PROD0051,Product_51,Clothing,406.19,ACTIVE
PROD0052,Product_52,Home,362.33,DISCONTINUED
PROD0053,Product_53,Home,85.87,DISCONTINUED
PROD0054,Product_54,Electronics,887.23,ACTIVE
PROD0055,Product_55,Home,587.05,ACTIVE
PROD0056,Product_56,Clothing,546.58,ACTIVE
PROD0057,Product_57,Grocery,711.54,DISCONTINUED
PROD0058,Product_58,Clothing,574.1,DISCONTINUED
PROD0059,Product_59,Clothing,814.48,ACTIVE
PROD0060,Product_60,Electronics,539.83,ACTIVE
PROD0061,Product_61,Grocery,888.39,ACTIVE
PROD0062,Product_62,Grocery,293.33,ACTIVE
PROD0063,Product_63,Clothing,410.53,ACTIVE
